Volume;File name;File type;Species name RAW;Species name CURRENT;Genus;Epithet;Group;Family;Dutch common name;Link.KB;;;;;;;;;;;;;
1;KW_T_423_1_0146R.tif.jpg;illustration;Rumex acetosella;Rumex acetosella;Rumex;acetosella;Fungi;Russulaceae;Smakelijke melkzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava19/page/58/zoom/3/lat/-68.6885206018014/lng/-21.357421875;;;;;;;;;;;;;
1;KW_T_423_1_0148R.tif.jpg;illustration;Sedum acre;Sedum acre;Sedum;acre;Fungi;Tremellaceae ;Bruine trilzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava19/page/83/zoom/3/lat/-68.6885206018014/lng/-21.357421875;;;;;;;;;;;;;
1;KW_T_423_1_0150R.tif.jpg;illustration;Potentilla reptans;Potentilla reptans;Potentilla;reptans;Fungi;Squamanitaceae;Oranjegele korrelhoed s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava19/page/92/zoom/3/lat/-68.6885206018014/lng/-21.357421875;;;;;;;;;;;;;
1;KW_T_423_1_0152R.tif.jpg;illustration;Thymus serpyllum;Thymus pulegioides;Thymus;pulegioides;Fungi;Physalacrisceae;Gewoon fluweelpootje s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava21/page/62/zoom/3/lat/-67.1016555307692/lng/-17.841796875;;;;;;;;;;;;;
1;KW_T_423_1_0154R.tif.jpg;illustration;Thlaspi arvense;Thlaspi arvense;Thlaspi;arvense;Fungi;Russulaceae;Vissige eikenrussula s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava21/page/67/zoom/3/lat/-67.90861918215302/lng/-50.88867187499999;;;;;;;;;;;;;
1;KW_T_423_1_0156R.tif.jpg;illustration;Sonchus arvensis;Sonchus arvensis;Sonchus;arvensis;Fungi;Boletaceae;Roodsteelfluweelboleet s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava23/page/75/zoom/3/lat/-67.16995497083366/lng/-27.509765625;;;;;;;;;;;;;
1;KW_T_423_1_0158R.tif.jpg;illustration;Erigeron canadense;Conyza canadensis;Conyza;canadensis;Fungi;Phallaceae;Kleine stinkzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava24/page/65/zoom/3/lat/-65.6220226151064/lng/-26.103515627;;;;;;;;;;;;;
1;KW_T_423_1_0160R.tif.jpg;illustration;Verbascum nigrum;Verbascum nigrum;Verbascum;nigrum;Fungi;Hydnaceae;Witte koraalzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava25/page/11/zoom/3/lat/-69.53451763078357/lng/-18.45703125;;;;;;;;;;;;;
1;KW_T_423_1_0162R.tif.jpg;illustration;Euonymus europaeus;Euonymus europaeus;Euonymus;europaeus;Fungi;Bolbitiaceae;Franjebreeksteeltje s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava25/page/42/zoom/3/lat/-69.53451763078357/lng/-18.544921875;;;;;;;;;;;;;
1;KW_T_423_1_0164R.tif.jpg;illustration;Myosurus minimus;Myosurus minimus;Myosurus;minimus;Fungi;Ophiocordycipitaceae;Ronde truffelknotszwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava25/page/61/zoom/3/lat/-69.53451763078357/lng/-18.544921875;;;;;;;;;;;;;
1;KW_T_423_1_0166R.tif.jpg;illustration;Triglochin palustre;Triglochin palustris;Triglochin;palustris;Fungi;Crepidotaceae;Wit oorzwammetje s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava25/page/66/zoom/3/lat/-69.53451763078357/lng/-18.45703125;;;;;;;;;;;;;
1;KW_T_423_1_0168R.tif.jpg;illustration;Polygonum amphibium;Persicaria amphibia;Persicaria;amphibia;Fungi;Mycenaceae;Graskleefsteelmycena s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava25/page/90/zoom/3/lat/-70.61261423801925/lng/-18.80859375;;;;;;;;;;;;;
1;KW_T_423_1_0170R.tif.jpg;illustration;Ranunculus Ficaria;Ficaria verna subsp. verna;Ficaria;verna subsp. verna;Fungi;Cortinariaceae;Bleke galgordijnzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava25/page/101/zoom/3/lat/-70.61261423801925/lng/-18.80859375;;;;;;;;;;;;;
1;KW_T_423_1_0172R.tif.jpg;illustration;Prunella vulgaris;Prunella vulgaris;Prunella;vulgaris;Fungi;Strophariaceae;Oranjebloesemzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava26/page/101/zoom/3/lat/-68.33437594128185/lng/-36.38671875;;;;;;;;;;;;;
1;KW_T_423_1_0174R.tif.jpg;illustration;Eupatorium cannabinum;Eupatorium cannabinum;Eupatorium;cannabinum;Fungi;Marasmiaceae;Brandnetelklokje s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava26/page/111/zoom/3/lat/-68.33437594128185/lng/-36.38671875;;;;;;;;;;;;;
1;KW_T_423_1_0176R.tif.jpg;illustration;Ophrys ovata;Listera ovata;Listera;ovata;Fungi;Hygrocybaceae;Puntmutswasplaat s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava27/page/22/zoom/3/lat/-66.23145747862573/lng/-39.55078125;;;;;;;;;;;;;
