plant_id,volume,species_raw,species_current,genus,epithet,group,family,dutch_name,kb_link,multi_species,all_species
KW_T_423_25_0074L,25,Flammula gummosa,Pholiota conissans,Pholiota,conissans,Fungi,Geastraceae,Baretaardster,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/89/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Pholiota conissans
KW_T_423_25_0076L,25,Exidia glandulosa,Exidia plana ,Exidia,plana,Flowering plants,Orobanchaceae,Rode bremraap,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/7/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Exidia plana 
KW_T_423_25_0078L,25,Solanum sisymbriifolium,Solanum sisymbriifolium,Solanum,sisymbriifolium,Flowering plants,Poaceae,Rivierstruisriet,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/8/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Solanum sisymbriifolium
KW_T_423_25_0080L,25,Asphodelus tenuifolius,Asphodelus tenuifolius,Asphodelus,tenuifolius,Fungi,Physaraceae,Troskalknetje,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/10/zoom/3/lat/-69.53451763078357/lng/-18.544921875,False,Asphodelus tenuifolius
KW_T_423_25_0083L,25,Irpex lacteus,Gloeoporus dichrous,Gloeoporus,dichrous,Fungi,Entolomataceae,Citroengele satijnzwam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/13/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Gloeoporus dichrous
KW_T_423_25_0085L,25,Gautieria graveolens,Gautieria graveolens,Gautieria,graveolens,Flowering plants,Polygonaceae,Noordse zuring,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/14/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Gautieria graveolens
KW_T_423_25_0087L,25,Hydnum aurantiacum,Hydnellum aurantiacum,Hydnellum,aurantiacum,Flowering plants,Rosaceae,Braam spec.,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/16/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Hydnellum aurantiacum
KW_T_423_25_0089L,25,Rubus macrostemon,Rubus winteri,Rubus,winteri,Fungi,Cortinariaceae,Roodschubbige gordijnzwam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/17/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Rubus winteri
KW_T_423_25_0092L,25,Bidens connata,Bidens connata,Bidens,connata,Fungi,Lycoperdaceae,Loodgrijze bovist,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/18/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Bidens connata
KW_T_423_25_0094L,25,Clavaria contorta / Clavaria fistulosa,Macrotyphula fistulosa var. contorta / Macrotyphula fistulosa var. fistulosa,Macrotyphula,fistulosa var. contorta / fistulosa var. fistulosa,Fungi,Lycoperdaceae / Rosaceae,Zwartwordende bovist / Kale randbraam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/19/zoom/3/lat/-69.53451763078357/lng/-18.544921875,True,Macrotyphula fistulosa var. contorta / Macrotyphula fistulosa var. fistulosa
KW_T_423_25_0097L,25,Gyromytra infula / Gyromitra esculenta,Gyromitra infula / Gyromitra esculenta,Gyromitra,infula / esculenta,Flowering plants,Asteraceae / Polygonaceae,Fraaie zuring,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/22/zoom/3/lat/-69.53451763078357/lng/-18.544921875,True,Gyromitra infula / Gyromitra esculenta
